Input,WASM,Docker
10,0.0010773,0.0027208566665649415
20,0.0033040000000000005,0.010867023468017578
30,0.0075659,0.024163341522216795
40,0.013247100000000001,0.04271876811981201
50,0.0212088,0.06296663284301758
60,0.031138500000000003,0.08988277912139893
70,0.0397947,0.12455649375915527
80,0.0520697,0.1614248275756836
90,0.06470129999999999,0.2012183904647827
100,0.07692949999999998,0.2469804048538208
110,0.0944709,0.292207670211792
120,0.11411199999999996,0.36422531604766845
130,0.1321584,0.4185486316680908
140,0.1534789,0.4708246231079102
150,0.17332679999999998,0.5788650751113892
160,0.2057328,0.6712180852890015
170,0.22377000000000002,0.7409549474716186
180,0.2459953,0.7812721014022828
190,0.2784974,0.8651085376739502
200,0.30870879999999995,0.9681314945220947
