cold,warm,container
5.1702563762664795,0.19271039962768555,docker
5.71338963508606,0.18494105339050293,docker
5.644038438796997,0.15920639038085938,docker
5.507158994674683,0.19578242301940918,docker
5.952723026275635,0.18530058860778809,docker
6.425548315048218,0.17430639266967773,docker
5.187716722488403,0.17949676513671875,docker
5.028145790100098,0.16622018814086914,docker
5.204761028289795,0.1784040927886963,docker
6.289903879165649,0.16202044486999512,docker
2.1205508708953857,0.16472363471984863,wasm
2.027339220046997,0.1816864013671875,wasm
2.2178664207458496,0.16702628135681152,wasm
2.123619556427002,0.18837332725524902,wasm
2.13590931892395,0.18348407745361328,wasm
2.1026768684387207,0.20553827285766602,wasm
2.02329158782959,0.17193293571472168,wasm
2.011155366897583,0.16199493408203125,wasm
2.0366933345794678,0.18842196464538574,wasm
1.9313676357269287,0.20901060104370117,wasm

